iter	Passed	Remaining
0	141	141816
1	144	72078
2	146	48613
3	148	36876
4	149	29787
5	151	25079
6	152	21686
7	154	19113
8	155	17110
9	156	15523
10	158	14234
11	159	13121
12	160	12188
13	161	11396
14	162	10692
15	163	10075
16	164	9536
17	166	9064
18	167	8628
19	167	8231
20	168	7875
21	169	7552
22	171	7272
23	172	7026
24	174	6789
25	175	6572
26	176	6358
27	177	6159
28	178	5978
29	179	5802
30	180	5634
31	181	5476
32	182	5340
33	183	5205
34	184	5080
35	185	4960
36	186	4854
37	187	4749
38	188	4647
39	189	4552
40	190	4461
41	191	4372
42	192	4286
43	193	4205
44	194	4127
45	195	4049
46	196	3980
47	197	3911
48	198	3845
49	199	3783
50	199	3720
51	201	3664
52	202	3627
53	203	3572
54	204	3518
55	205	3465
56	206	3415
57	207	3368
58	208	3320
59	209	3275
60	209	3230
61	210	3187
62	211	3148
63	212	3112
64	213	3075
65	214	3038
66	215	3002
67	216	2970
68	217	2939
69	218	2907
70	219	2873
71	220	2841
72	221	2812
73	222	2781
74	223	2751
75	223	2721
76	224	2693
77	225	2666
78	226	2640
79	227	2615
80	228	2588
81	229	2564
82	229	2535
83	230	2514
84	231	2496
85	233	2477
86	234	2455
87	234	2434
88	235	2413
89	236	2391
90	237	2370
91	238	2350
92	238	2330
93	239	2310
94	240	2292
95	241	2274
96	242	2255
97	243	2238
98	243	2220
99	244	2204
100	246	2192
101	247	2178
102	248	2162
103	249	2145
104	249	2129
105	250	2115
106	251	2102
107	252	2086
108	253	2071
109	254	2056
110	255	2042
111	255	2027
112	256	2014
113	257	2000
114	258	1986
115	258	1973
116	259	1959
117	260	1950
118	262	1942
119	263	1931
120	264	1920
121	265	1911
122	266	1901
123	267	1890
124	268	1880
125	269	1868
126	270	1856
127	270	1846
128	271	1835
129	272	1825
130	273	1814
131	274	1804
132	275	1795
133	276	1786
134	277	1777
135	278	1767
136	279	1758
137	280	1749
138	281	1743
139	282	1734
140	283	1727
141	284	1718
142	285	1709
143	286	1702
144	287	1693
145	287	1684
146	288	1675
147	289	1668
148	290	1661
149	292	1654
150	292	1647
151	294	1642
152	295	1636
153	296	1630
154	297	1622
155	298	1614
156	299	1607
157	300	1599
158	300	1591
159	301	1584
160	302	1575
161	303	1567
162	303	1559
163	304	1554
164	306	1553
165	308	1547
166	308	1541
167	309	1534
168	310	1528
169	311	1523
170	313	1518
171	314	1513
172	315	1506
173	316	1501
174	317	1495
175	318	1491
176	319	1487
177	321	1484
178	322	1477
179	323	1471
180	324	1466
181	325	1461
182	326	1457
183	327	1451
184	328	1445
185	328	1439
186	330	1435
187	330	1429
188	331	1423
189	332	1417
190	333	1411
191	334	1408
192	336	1405
193	337	1400
194	337	1395
195	338	1390
196	339	1385
197	341	1381
198	342	1377
199	343	1372
200	344	1369
201	345	1363
202	345	1358
203	346	1353
204	347	1347
205	348	1344
206	350	1341
207	351	1338
208	352	1335
209	353	1330
210	354	1326
211	355	1321
212	357	1319
213	358	1315
214	359	1311
215	359	1306
216	360	1301
217	361	1296
218	362	1291
219	363	1287
220	364	1283
221	365	1279
222	366	1276
223	367	1272
224	368	1268
225	369	1265
226	370	1260
227	371	1256
228	371	1251
229	372	1247
230	373	1242
231	374	1238
232	374	1233
233	375	1229
234	376	1224
235	377	1221
236	379	1222
237	381	1220
238	382	1218
239	383	1215
240	384	1212
241	386	1209
242	387	1206
243	388	1204
244	389	1200
245	390	1196
246	391	1192
247	391	1188
248	393	1185
249	394	1182
250	395	1179
251	395	1175
252	396	1171
253	397	1168
254	399	1165
255	399	1161
256	400	1158
257	401	1154
258	402	1151
259	403	1147
260	404	1144
261	404	1140
262	405	1136
263	406	1133
264	407	1129
265	408	1126
266	409	1124
267	410	1120
268	411	1117
269	412	1114
270	413	1112
271	414	1109
272	415	1106
273	416	1103
274	417	1100
275	418	1096
276	418	1093
277	419	1089
278	420	1086
279	421	1082
280	422	1079
281	423	1077
282	424	1075
283	425	1073
284	426	1070
285	427	1067
286	428	1065
287	429	1062
288	430	1059
289	431	1056
290	432	1054
291	433	1051
292	434	1049
293	435	1046
294	437	1045
295	438	1043
296	439	1040
297	440	1037
298	441	1034
299	442	1032
300	443	1029
301	444	1026
302	445	1023
303	445	1020
304	446	1017
305	447	1014
306	448	1012
307	449	1009
308	449	1006
309	450	1003
310	451	1001
311	452	998
312	453	996
313	454	993
314	455	990
315	456	988
316	457	985
317	458	983
318	459	980
319	460	978
320	461	975
321	462	973
322	463	970
323	463	967
324	464	964
325	465	961
326	466	959
327	467	957
328	468	955
329	469	952
330	469	949
331	470	947
332	471	944
333	472	942
334	473	939
335	474	936
336	475	934
337	476	932
338	477	931
339	478	929
340	479	927
341	481	925
342	482	924
343	483	921
344	484	919
345	485	917
346	486	914
347	486	912
348	487	909
349	488	907
350	490	907
351	492	906
352	493	904
353	494	902
354	496	902
355	498	901
356	499	899
357	500	897
358	501	895
359	502	893
360	503	890
361	504	888
362	504	886
363	505	883
364	506	881
365	507	879
366	508	876
367	509	874
368	510	872
369	511	870
370	512	869
371	513	867
372	514	864
373	515	862
374	515	859
375	516	857
376	517	855
377	519	854
378	520	852
379	521	850
380	522	848
381	522	846
382	523	843
383	524	841
384	526	840
385	527	838
386	528	836
387	529	834
388	529	832
389	530	830
390	531	828
391	532	826
392	533	823
393	534	821
394	535	819
395	535	817
396	536	815
397	537	812
398	538	810
399	538	808
400	540	806
401	541	805
402	542	803
403	543	801
404	544	799
405	545	797
406	546	795
407	546	793
408	547	791
409	548	789
410	549	787
411	549	784
412	550	782
413	551	780
414	552	778
415	552	776
416	553	774
417	554	772
418	556	771
419	556	769
420	558	767
421	558	765
422	559	763
423	560	761
424	561	759
425	561	757
426	562	755
427	563	753
428	564	751
429	565	749
430	565	747
431	566	745
432	567	743
433	568	741
434	569	739
435	570	737
436	571	736
437	572	734
438	572	732
439	573	730
440	574	728
441	575	726
442	576	724
443	576	722
444	577	720
445	578	718
446	579	716
447	579	714
448	580	712
449	581	710
450	582	708
451	583	706
452	584	705
453	585	703
454	586	702
455	587	700
456	587	698
457	588	696
458	589	694
459	590	693
460	591	691
461	591	689
462	592	687
463	593	685
464	594	683
465	595	681
466	595	679
467	596	678
468	597	676
469	598	674
470	599	672
471	600	671
472	601	669
473	601	667
474	602	666
475	603	664
476	604	662
477	604	660
478	605	659
479	606	657
480	607	655
481	608	653
482	609	652
483	609	650
484	610	648
485	611	646
486	612	645
487	613	643
488	614	642
489	615	640
490	616	639
491	617	637
492	618	635
493	619	634
494	619	632
495	620	630
496	621	628
497	622	627
498	622	625
499	623	623
500	624	622
501	625	620
502	626	618
503	627	617
504	628	615
505	629	614
506	630	612
507	631	611
508	631	609
509	632	608
510	634	606
511	634	605
512	635	603
513	636	601
514	637	600
515	638	598
516	639	597
517	639	595
518	640	593
519	641	592
520	642	590
521	643	589
522	644	587
523	645	586
524	646	584
525	647	583
526	647	581
527	648	579
528	649	578
529	650	576
530	651	575
531	651	573
532	652	571
533	653	570
534	654	568
535	655	567
536	655	565
537	656	563
538	657	562
539	658	561
540	660	560
541	661	558
542	661	557
543	662	555
544	663	553
545	664	552
546	665	550
547	665	549
548	666	547
549	667	546
550	668	544
551	669	543
552	669	541
553	670	539
554	671	538
555	672	537
556	673	535
557	674	534
558	675	532
559	676	531
560	677	529
561	677	528
562	678	526
563	679	525
564	679	523
565	680	522
566	681	520
567	682	518
568	683	517
569	683	515
570	684	514
571	685	512
572	686	511
573	687	510
574	688	508
575	689	507
576	690	506
577	691	504
578	692	503
579	692	501
580	693	500
581	694	498
582	695	497
583	696	495
584	697	494
585	697	493
586	698	491
587	699	489
588	700	488
589	700	487
590	702	486
591	703	485
592	704	483
593	705	482
594	706	481
595	707	479
596	708	478
597	709	476
598	709	475
599	710	473
600	711	472
601	712	470
602	713	469
603	713	468
604	714	466
605	715	465
606	716	463
607	717	462
608	718	461
609	719	459
610	720	458
611	720	457
612	721	455
613	722	454
614	723	452
615	724	451
616	725	450
617	725	448
618	726	447
619	727	445
620	728	444
621	728	442
622	729	441
623	730	440
624	731	438
625	732	437
626	733	436
627	734	435
628	735	433
629	736	432
630	737	431
631	738	429
632	739	428
633	740	427
634	741	426
635	742	425
636	743	423
637	744	422
638	745	421
639	746	419
640	747	418
641	748	417
642	749	416
643	750	414
644	751	413
645	752	412
646	752	410
647	753	409
648	754	408
649	755	406
650	755	405
651	756	403
652	757	402
653	758	401
654	759	399
655	759	398
656	760	397
657	761	395
658	762	394
659	763	393
660	764	392
661	765	390
662	766	389
663	766	387
664	767	386
665	768	385
666	769	383
667	769	382
668	770	381
669	771	379
670	772	378
671	772	377
672	773	375
673	774	374
674	775	373
675	775	371
676	777	370
677	778	369
678	779	368
679	780	367
680	781	365
681	782	364
682	783	363
683	783	362
684	784	360
685	785	359
686	786	358
687	787	357
688	788	355
689	789	354
690	789	353
691	790	352
692	792	350
693	793	349
694	794	348
695	795	347
696	796	346
697	797	344
698	797	343
699	798	342
700	799	340
701	799	339
702	800	338
703	801	336
704	802	335
705	803	334
706	803	333
707	804	331
708	805	330
709	806	329
710	807	328
711	808	327
712	809	325
713	810	324
714	811	323
715	811	322
716	812	320
717	813	319
718	814	318
719	814	316
720	815	315
721	816	314
722	817	313
723	817	311
724	818	310
725	819	309
726	820	307
727	821	306
728	822	305
729	823	304
730	824	303
731	824	302
732	825	300
733	826	299
734	827	298
735	828	297
736	829	295
737	829	294
738	830	293
739	831	292
740	832	290
741	833	289
742	833	288
743	834	287
744	835	285
745	836	284
746	838	283
747	838	282
748	839	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	853	265
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	257
770	861	255
771	862	254
772	863	253
773	863	252
774	864	250
775	865	249
776	866	248
777	867	247
778	868	246
779	869	245
780	870	244
781	870	242
782	871	241
783	872	240
784	873	239
785	874	238
786	875	236
787	875	235
788	876	234
789	877	233
790	878	232
791	879	230
792	879	229
793	881	228
794	882	227
795	883	226
796	884	225
797	884	223
798	885	222
799	886	221
800	887	220
801	888	219
802	888	218
803	889	216
804	890	215
805	891	214
806	891	213
807	892	212
808	893	210
809	894	209
810	895	208
811	897	207
812	897	206
813	898	205
814	899	204
815	900	203
816	901	201
817	902	200
818	902	199
819	903	198
820	904	197
821	905	196
822	906	194
823	907	193
824	907	192
825	908	191
826	909	190
827	910	189
828	911	188
829	912	186
830	913	185
831	914	184
832	915	183
833	916	182
834	916	181
835	917	180
836	918	178
837	920	177
838	921	176
839	922	175
840	923	174
841	925	173
842	926	172
843	927	171
844	928	170
845	929	169
846	930	168
